0	87.76
1	78.12
2	86.38
3	83.02
4	122.24
5	86.36
6	98.84
7	95.44
8	97.48
9	107.6
10	105.56
11	94.22
12	94.28
13	95.46
14	104.14
15	91.9
16	109.5
17	117.8
18	111.76
19	85.06
20	113.84
21	104.24
22	131.2
23	113.5
24	109.04
25	100.1
26	96.28
27	123.06
28	74.18
29	106.48
30	86.64
31	94.6
32	86.9
33	96.48
34	123.94
35	117.72
36	82.4
37	114.94
38	82.02
39	121.96
40	94.32
41	78.02
42	108.92
43	119.52
44	92.38
45	82.66
46	93.86
47	109.3
48	112.84
49	103.06
50	101.2
51	83.82
52	80.14
53	85.14
54	105.24
55	96.04
56	91.2
57	110.18
58	96
59	101
60	107.4
61	109.42
62	101.32
63	99.6
64	105.4
65	102.46
66	106.28
67	109.28
68	94.02
69	105.58
70	110.4
71	103.36
72	119.44
73	127.98
74	105.28
75	123
76	120.26
77	100.8
78	75.64
79	99.76
80	112.2
81	130
82	89.66
83	97.88
84	119.66
85	77.54
86	84.1
87	96.24
88	118.22
89	99.28
90	92.96
91	119.06
92	91.88
93	102.94
94	89.54
95	92.88
96	97.9
97	84.68
98	111.52
99	66.62
